Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL
B2C Service AC Rumah,AG - Isi Freon & Bongkar Pasang,"isi freon ac rumah bekasi",Phrase,3500,https://jasa-service-ac.tech1solusi.workers.dev/b2c.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-residential&utm_term={keyword}
B2C Service AC Rumah,AG - Isi Freon & Bongkar Pasang,"biaya isi freon r32 depok",Phrase,3500,https://jasa-service-ac.tech1solusi.workers.dev/b2c.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-residential&utm_term={keyword}
B2C Service AC Rumah,AG - Isi Freon & Bongkar Pasang,"tambah freon ac r410a",Phrase,3500,https://jasa-service-ac.tech1solusi.workers.dev/b2c.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-residential&utm_term={keyword}
B2C Service AC Rumah,AG - Isi Freon & Bongkar Pasang,"bongkar pasang ac bekasi",Phrase,4000,https://jasa-service-ac.tech1solusi.workers.dev/b2c.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-residential&utm_term={keyword}
B2C Service AC Rumah,AG - Grand Wisata Tambun,"cuci ac grand wisata",Phrase,3500,https://jasa-service-ac.tech1solusi.workers.dev/cuci-ac-grand-wisata.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-grandwisata&utm_term={keyword}
B2C Service AC Rumah,AG - Grand Wisata Tambun,[cuci ac grand wisata],Exact,4500,https://jasa-service-ac.tech1solusi.workers.dev/cuci-ac-grand-wisata.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-grandwisata&utm_term={keyword}
B2C Service AC Rumah,AG - Grand Wisata Tambun,"service ac grand wisata tambun",Phrase,3500,https://jasa-service-ac.tech1solusi.workers.dev/cuci-ac-grand-wisata.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-grandwisata&utm_term={keyword}
B2C Service AC Rumah,AG - Grand Wisata Tambun,"servis ac tambun selatan",Phrase,3000,https://jasa-service-ac.tech1solusi.workers.dev/cuci-ac-grand-wisata.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-grandwisata&utm_term={keyword}
B2C Service AC Rumah,AG - Grand Wisata Tambun,"tukang cuci ac cluster grand wisata",Phrase,3500,https://jasa-service-ac.tech1solusi.workers.dev/cuci-ac-grand-wisata.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-grandwisata&utm_term={keyword}
B2C Service AC Rumah,AG - Harapan Indah Bekasi,"service ac harapan indah",Phrase,3500,https://jasa-service-ac.tech1solusi.workers.dev/service-ac-harapan-indah.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-harapanindah&utm_term={keyword}
B2C Service AC Rumah,AG - Harapan Indah Bekasi,[service ac harapan indah],Exact,4500,https://jasa-service-ac.tech1solusi.workers.dev/service-ac-harapan-indah.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-harapanindah&utm_term={keyword}
B2C Service AC Rumah,AG - Harapan Indah Bekasi,"cuci ac kota harapan indah",Phrase,3500,https://jasa-service-ac.tech1solusi.workers.dev/service-ac-harapan-indah.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-harapanindah&utm_term={keyword}
B2C Service AC Rumah,AG - Harapan Indah Bekasi,"tukang ac medan satria bekasi",Phrase,3000,https://jasa-service-ac.tech1solusi.workers.dev/service-ac-harapan-indah.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-harapanindah&utm_term={keyword}
B2C Service AC Rumah,AG - Harapan Indah Bekasi,"service ac pejuang bekasi",Phrase,3000,https://jasa-service-ac.tech1solusi.workers.dev/service-ac-harapan-indah.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-harapanindah&utm_term={keyword}
B2C Service AC Rumah,AG - Summarecon Bekasi,"service ac summarecon bekasi",Phrase,3500,https://jasa-service-ac.tech1solusi.workers.dev/service-ac-summarecon-bekasi.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-summarecon&utm_term={keyword}
B2C Service AC Rumah,AG - Summarecon Bekasi,[service ac summarecon bekasi],Exact,4500,https://jasa-service-ac.tech1solusi.workers.dev/service-ac-summarecon-bekasi.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-summarecon&utm_term={keyword}
B2C Service AC Rumah,AG - Summarecon Bekasi,"cuci ac summarecon bekasi",Phrase,3500,https://jasa-service-ac.tech1solusi.workers.dev/service-ac-summarecon-bekasi.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-summarecon&utm_term={keyword}
B2C Service AC Rumah,AG - Summarecon Bekasi,"servis ac bekasi utara",Phrase,3000,https://jasa-service-ac.tech1solusi.workers.dev/service-ac-summarecon-bekasi.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-summarecon&utm_term={keyword}
B2C Service AC Rumah,AG - Summarecon Bekasi,"tukang ac ruko sinpasa summarecon",Phrase,3500,https://jasa-service-ac.tech1solusi.workers.dev/service-ac-summarecon-bekasi.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-summarecon&utm_term={keyword}
