Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL
B2B HVAC Industri,AG - EJIP Cikarang Selatan,"service ac ejip",Phrase,4500,https://jasa-service-ac.tech1solusi.workers.dev/hvac-ejip.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-ejip&utm_term={keyword}
B2B HVAC Industri,AG - EJIP Cikarang Selatan,[service ac ejip],Exact,5500,https://jasa-service-ac.tech1solusi.workers.dev/hvac-ejip.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-ejip&utm_term={keyword}
B2B HVAC Industri,AG - EJIP Cikarang Selatan,"vendor hvac ejip cikarang",Phrase,5000,https://jasa-service-ac.tech1solusi.workers.dev/hvac-ejip.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-ejip&utm_term={keyword}
B2B HVAC Industri,AG - EJIP Cikarang Selatan,"perawatan ac vrv cikarang selatan",Phrase,6000,https://jasa-service-ac.tech1solusi.workers.dev/hvac-ejip.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-ejip&utm_term={keyword}
B2B HVAC Industri,AG - EJIP Cikarang Selatan,"kontrak service ac pabrik ejip",Phrase,6500,https://jasa-service-ac.tech1solusi.workers.dev/hvac-ejip.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-ejip&utm_term={keyword}
B2B HVAC Industri,AG - Diagnostic Kode Error,"kode error ac vrv daikin",Phrase,3500,https://jasa-service-ac.tech1solusi.workers.dev/panduan-kode-error-ac-industri.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-diagnostic&utm_term={keyword}
B2B HVAC Industri,AG - Diagnostic Kode Error,"arti error u4 daikin",Phrase,3500,https://jasa-service-ac.tech1solusi.workers.dev/panduan-kode-error-ac-industri.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-diagnostic&utm_term={keyword}
B2B HVAC Industri,AG - Diagnostic Kode Error,"chiller high pressure trip",Phrase,4000,https://jasa-service-ac.tech1solusi.workers.dev/panduan-kode-error-ac-industri.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-diagnostic&utm_term={keyword}
B2B HVAC Industri,AG - Diagnostic Kode Error,"error e3 ac daikin pabrik",Phrase,3500,https://jasa-service-ac.tech1solusi.workers.dev/panduan-kode-error-ac-industri.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-diagnostic&utm_term={keyword}
B2B HVAC Industri,AG - Diagnostic Kode Error,"teknisi emergency hvac cikarang",Phrase,5000,https://jasa-service-ac.tech1solusi.workers.dev/panduan-kode-error-ac-industri.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-diagnostic&utm_term={keyword}
B2B HVAC Industri,AG - Chiller Industri,"service chiller industri",Phrase,6500,https://jasa-service-ac.tech1solusi.workers.dev/service-chiller-industri.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-chiller&utm_term={keyword}
B2B HVAC Industri,AG - Chiller Industri,[service chiller industri],Exact,7500,https://jasa-service-ac.tech1solusi.workers.dev/service-chiller-industri.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-chiller&utm_term={keyword}
B2B HVAC Industri,AG - Chiller Industri,"overhaul kompresor chiller",Phrase,7000,https://jasa-service-ac.tech1solusi.workers.dev/service-chiller-industri.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-chiller&utm_term={keyword}
B2B HVAC Industri,AG - Chiller Industri,"descaling kondensor chiller pabrik",Phrase,6000,https://jasa-service-ac.tech1solusi.workers.dev/service-chiller-industri.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-chiller&utm_term={keyword}
B2B HVAC Industri,AG - Chiller Industri,"perbaikan water cooled chiller bekasi",Phrase,6500,https://jasa-service-ac.tech1solusi.workers.dev/service-chiller-industri.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-chiller&utm_term={keyword}
B2B HVAC Industri,AG - AHU Cleanroom,"service ahu pabrik",Phrase,5500,https://jasa-service-ac.tech1solusi.workers.dev/maintenance-ahu-cleanroom.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-ahu&utm_term={keyword}
B2B HVAC Industri,AG - AHU Cleanroom,[service ahu pabrik],Exact,6500,https://jasa-service-ac.tech1solusi.workers.dev/maintenance-ahu-cleanroom.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-ahu&utm_term={keyword}
B2B HVAC Industri,AG - AHU Cleanroom,"maintenance ahu cleanroom cpob",Phrase,7000,https://jasa-service-ac.tech1solusi.workers.dev/maintenance-ahu-cleanroom.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-ahu&utm_term={keyword}
B2B HVAC Industri,AG - AHU Cleanroom,"ganti hepa filter ahu cikarang",Phrase,6000,https://jasa-service-ac.tech1solusi.workers.dev/maintenance-ahu-cleanroom.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-ahu&utm_term={keyword}
B2B HVAC Industri,AG - AHU Cleanroom,"tata udara farmasi karawang",Phrase,6500,https://jasa-service-ac.tech1solusi.workers.dev/maintenance-ahu-cleanroom.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-ahu&utm_term={keyword}
B2B HVAC Industri,AG - AC VRV VRF,"service ac vrv",Phrase,5500,https://jasa-service-ac.tech1solusi.workers.dev/service-ac-vrv-vrf.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-vrv&utm_term={keyword}
B2B HVAC Industri,AG - AC VRV VRF,[service ac vrv],Exact,6500,https://jasa-service-ac.tech1solusi.workers.dev/service-ac-vrv-vrf.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-vrv&utm_term={keyword}
B2B HVAC Industri,AG - AC VRV VRF,"perbaikan ac vrf gedung",Phrase,6000,https://jasa-service-ac.tech1solusi.workers.dev/service-ac-vrv-vrf.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-vrv&utm_term={keyword}
B2B HVAC Industri,AG - AC VRV VRF,"service daikin vrv cikarang karawang",Phrase,6500,https://jasa-service-ac.tech1solusi.workers.dev/service-ac-vrv-vrf.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-vrv&utm_term={keyword}
B2B HVAC Industri,AG - AC VRV VRF,"troubleshooting inverter vrv bekasi",Phrase,6000,https://jasa-service-ac.tech1solusi.workers.dev/service-ac-vrv-vrf.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-vrv&utm_term={keyword}
